time                ,algo ,unpaid_total_amount ,unpaid_algo_amount ,profitability            ,balance
2021-03-29 19:20:00 ,47   ,0.00001483          ,0.00000045         ,0.00008351999999999999   ,
2021-03-29 19:20:00 ,20   ,0.00001483          ,0.00001438         ,0.00008351999999999999   ,
2021-03-29 19:15:00 ,47   ,0.00001454          ,0.00000044         ,0.0001584                ,
2021-03-29 19:15:00 ,20   ,0.00001454          ,0.00001410         ,0.0001584                ,
2021-03-29 19:10:00 ,47   ,0.00001399          ,0.00000044         ,0.00007776               ,
2021-03-29 19:10:00 ,20   ,0.00001399          ,0.00001355         ,0.00007776               ,
2021-03-29 19:05:00 ,47   ,0.00001372          ,0.00000042         ,0.00007776               ,
2021-03-29 19:05:00 ,20   ,0.00001372          ,0.00001330         ,0.00007776               ,
2021-03-29 19:00:00 ,47   ,0.00001345          ,0.00000041         ,0.00012384               ,
2021-03-29 19:00:00 ,20   ,0.00001345          ,0.00001304         ,0.00012384               ,
2021-03-29 18:55:00 ,20   ,0.00001302          ,0.00001262         ,0.00008064000000000001   ,
2021-03-29 18:55:00 ,47   ,0.00001302          ,0.00000040         ,0.00008064000000000001   ,
2021-03-29 18:50:00 ,20   ,0.00001274          ,0.00001236         ,0.00012672               ,
2021-03-29 18:50:00 ,47   ,0.00001274          ,0.00000038         ,0.00012672               ,
2021-03-29 18:45:00 ,20   ,0.00001230          ,0.00001193         ,0.00008351999999999999   ,
2021-03-29 18:45:00 ,47   ,0.00001230          ,0.00000037         ,0.00008351999999999999   ,
2021-03-29 18:40:00 ,20   ,0.00001201          ,0.00001165         ,0.0001152                ,
2021-03-29 18:40:00 ,47   ,0.00001201          ,0.00000036         ,0.0001152                ,
2021-03-29 18:35:00 ,20   ,0.00001161          ,0.00001126         ,0.00010367999999999998   ,
2021-03-29 18:35:00 ,47   ,0.00001161          ,0.00000035         ,0.00010367999999999998   ,
2021-03-29 18:30:00 ,20   ,0.00001125          ,0.00001091         ,0.00011808000000000001   ,
2021-03-29 18:30:00 ,47   ,0.00001125          ,0.00000034         ,0.00011808000000000001   ,
2021-03-29 18:25:00 ,20   ,0.00001084          ,0.00001052         ,0.00009216000000000001   ,
2021-03-29 18:25:00 ,47   ,0.00001084          ,0.00000032         ,0.00009216000000000001   ,
2021-03-29 18:20:00 ,20   ,0.00001052          ,0.00001020         ,0.00009792000000000001   ,
2021-03-29 18:20:00 ,47   ,0.00001052          ,0.00000032         ,0.00009792000000000001   ,
2021-03-29 18:15:00 ,20   ,0.00001019          ,0.00000989         ,0.00008352000000000001   ,
2021-03-29 18:15:00 ,47   ,0.00001019          ,0.00000030         ,0.00008352000000000001   ,
2021-03-29 18:10:00 ,20   ,0.00000986          ,0.00000956         ,0.00010944000000000001   ,
2021-03-29 18:10:00 ,47   ,0.00000986          ,0.00000030         ,0.00010944000000000001   ,
2021-03-29 18:05:00 ,20   ,0.00000948          ,0.00000920         ,0.00008639999999999999   ,
2021-03-29 18:05:00 ,47   ,0.00000948          ,0.00000028         ,0.00008639999999999999   ,
2021-03-29 18:00:00 ,20   ,0.00000918          ,0.00000890         ,0.00010944               ,
2021-03-29 18:00:00 ,47   ,0.00000918          ,0.00000028         ,0.00010944               ,
